lon,lat,name,year,month,drought,enso,PET,P,ET,SM,SM_prev,DS,NDVI
-100.3,35.4,P1,1994,6,NA,0.83,168.5564117,35.65999985,64.44623566,15.62553197,19.15976852,-13,0.404594511
-100.3,35.4,P1,1994,7,NA,1.11,177.9794159,67.05000305,70.581604,21.10724896,15.62553197,-3,0.418369889
-100.3,35.4,P1,1994,8,NA,1.33,157.1372375,25.69000053,53.00749588,18.28527451,21.10724896,4,0.381364405
-100.3,35.4,P1,1994,9,NA,1.18,117.2059937,32.90000153,50.07295227,21.84404284,18.28527451,-3,0.369127244
-100.3,35.4,P1,1995,1,NA,0.84,36.29269028,19.07999992,5.42799139,25.39081872,23.62373769,-4,0.273083597
-100.3,35.4,P1,1995,10,NA,-0.26,87.50684357,26.60000038,49.37813568,24.5604679,27.95553803,15,0.412082613
-100.3,35.4,P1,1995,11,NA,-0.38,52.61785126,0.74000001,13.78898811,19.86419708,24.5604679,7,0.344841987
-100.3,35.4,P1,1995,12,1,0.01,34.78819656,38.15999985,1.417210579,20.85262686,19.86419708,3,0.290960014
-100.3,35.4,P1,1995,2,NA,0.7,47.5345726,1.190000057,10.6936121,19.69908774,25.39081872,12,0.270261467
-100.3,35.4,P1,1995,3,NA,0.44,72.05455017,43.25,22.03871536,21.61887586,19.69908774,4,0.291603714
-100.3,35.4,P1,1995,4,NA,0.96,101.0768967,56.63999939,50.05803299,23.05839658,21.61887586,-12,0.356764853
-100.3,35.4,P1,1995,5,NA,0.63,124.7407227,136.0899963,75.55743408,23.06894511,23.05839658,-1,0.413975835
-100.3,35.4,P1,1995,6,NA,0.28,152.1867676,215.4299927,110.6452255,21.94853425,23.06894511,4,0.452667981
-100.3,35.4,P1,1995,7,NA,0,176.0858612,57.20000076,99.31325531,18.89342517,21.94853425,11,0.45512861
-100.3,35.4,P1,1995,8,NA,-0.2,149.6560822,157.75,100.4176254,21.61072642,18.89342517,-12,0.463766098
-100.3,35.4,P1,1995,9,NA,-0.42,109.5969162,154.7100067,62.81160736,27.95553803,21.61072642,-7,0.4016366
-100.3,35.4,P1,1996,1,1,-0.66,34.70445633,0,2.701265812,20.79516202,20.85262686,-6,0.282818258
-100.3,35.4,P1,1996,10,NA,-0.28,79.6947937,33.97999954,47.11109161,21.02065086,25.48538744,5,0.407148182
-100.3,35.4,P1,1996,11,NA,-0.03,44.92583084,52.77999878,19.77667618,26.33630633,21.02065086,1,0.334924757
-100.3,35.4,P1,1996,12,NA,-0.48,34.45699692,9.569999695,13.17673683,23.8629967,26.33630633,-8,0.288319081
-100.3,35.4,P1,1996,2,1,-0.39,45.28261185,13.15999985,6.447898388,17.6192835,20.79516202,2,0.274844527
-100.3,35.4,P1,1996,3,NA,-0.52,72.06404877,4.300000191,8.899202347,16.91924036,17.6192835,-2,0.284093201
-100.3,35.4,P1,1996,4,NA,-0.53,106.1948624,0.349999994,14.72515869,15.24752825,16.91924036,-22,0.292705595
-100.3,35.4,P1,1996,5,NA,-0.48,145.1679535,76.20999908,43.28175735,15.14379233,15.24752825,-25,0.351135492
-100.3,35.4,P1,1996,6,NA,-0.54,161.6629944,146,89.11238861,19.72811222,15.14379233,13,0.43138203
-100.3,35.4,P1,1996,7,NA,-0.26,171.5640411,128.8600006,96.41881561,18.20088476,19.72811222,-5,0.450794935
